City,"Population, 2010  ",Area,Population Density (2010),"Mean travel time to work (minutes), workers age 16+, 2006-2010  ","Manufacturers shipments, 2007","Persons under 18 years, percent, 2010  ","Persons below poverty level, percent, 2006-2010  ","Foreign born persons, percent,  2006-2010  ","Bachelor's degree or higher, pct of persons age 25+, 2006-2010  ","Asian persons, percent, 2010 ","Persons 65 years and over, percent,  2010  ","Persons reporting two or more races, percent, 2010  ","Total number of firms, 2007  ","Homeownership rate, 2006-2010  ","Persons under 5 years, percent, 2010  ","Persons per household, 2006-2010  ","Households, 2006-2010  ","Housing units in multi-unit structures, percent, 2006-2010  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ","Women-owned firms, percent, 2007  ","American Indian and Alaska Native persons, percent, 2010 ","Asian-owned firms, percent, 2007  ","Persons of Hispanic or Latino origin, percent, 2010 ","Retail sales, 2007 ","Black-owned firms, percent, 2007  ","Black persons, percent, 2010 ","Housing units, 2010  ","White persons, percent, 2010 ","Population, 2000  ","Retail sales per capita, 2007  ","White persons not Hispanic, percent, 2010  ","Population, 2011 estimate  ","Median value of owner-occupied housing units, 2006-2010  ","Language other than English spoken at home, pct age 5+, 2006-2010  ","Living in same house 1 year & over, 2006-2010  ","Population, percent change, 2000 to 2010  ","Land area in square miles, 2010  ","Native Hawaiian and Other Pacific Islander, percent, 2010 ",Per capita money income in past 12 months (2010 dollars) 2006-2010 ,"Female persons, percent, 2010  ","Accommodation and food services sales, 2007","High school graduates, percent of persons age 25+, 2006-2010  ",Median household income 2006-2010  ,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Gridley,6584,2.07,3180.676329,21.1,NA,0.287,0.178,0.183,0.097,0.038,0.141,0.052,371,0.574,0.084,3.14,2033,0.088,3179.1,15451000,0.167,0.015,F,0.456,86669000,F,0.008,2406,0.651,5382,13889,0.467,NA,213200,0.413,0.777,0.223,2.07,Z,17389,0.515,D,0.698,37358,48,0,3,3,42,236,76,141,19,1
Grover Beach,13156,2.31,5695.238095,17.2,NA,0.223,0.131,0.139,0.24,0.041,0.118,0.053,S,0.481,0.066,2.52,5206,0.247,5695.2,106047000,S,0.014,S,0.292,89191000,S,0.011,5748,0.757,13067,6868,0.623,NA,456000,0.205,0.81,0.007,2.31,0.003,24328,0.511,21792000,0.876,49010,32,0,6,5,21,317,82,213,22,5
Guadalupe,7080,1.31,5404.580153,21.7,NA,0.342,0.148,0.417,0.04,0.039,0.08,0.062,S,0.506,0.095,3.59,1888,0.287,5408.7,17050000,S,0.015,S,0.862,12426000,S,0.01,1887,0.48,5659,1902,0.088,NA,270100,0.741,0.833,0.251,1.31,0.001,14090,0.497,2527000,0.478,42978,12,0,2,0,10,67,18,45,4,1
Gustine,5520,1.55,3561.290323,34.7,NA,0.286,0.184,0.245,0.053,0.017,0.143,0.041,S,0.691,0.074,2.95,1846,0.081,3559,D,S,0.01,S,0.502,13983000,S,0.013,2087,0.702,4698,2784,0.456,NA,183700,0.501,0.85,0.175,1.55,0.001,16183,0.504,1972000,0.676,40818,8,0,0,1,7,175,69,85,21,1
Half Moon Bay,11324,6.42,1763.862928,26.7,NA,0.224,0.065,0.23,0.402,0.043,0.156,0.034,1639,0.739,0.063,2.7,4124,0.128,1762.8,D,0.384,0.006,0.051,0.315,156494000,F,0.007,4395,0.758,11842,12824,0.616,NA,753900,0.327,0.879,-0.044,6.42,0.001,44762,0.512,39011000,0.834,92875,11,0,1,5,5,248,45,193,10,0
Hanford,53967,16.59,3252.983725,20,343535000,0.31,0.165,0.165,0.166,0.043,0.099,0.054,3171,0.603,0.091,3.03,16823,0.215,3253.2,164599000,0.354,0.013,S,0.471,733015000,S,0.049,18493,0.625,41686,14959,0.411,NA,231200,0.335,0.827,0.295,16.59,0.001,22008,0.51,D,0.801,54742,181,0,6,43,132,1159,252,707,200,5
Hawaiian Gardens,14254,0.95,15004.21053,23.9,NA,0.321,0.158,0.445,0.097,0.106,0.079,0.039,785,0.553,0.09,3.86,3708,0.324,15067.7,3844000,S,0.012,0.246,0.772,62082000,F,0.038,3703,0.454,14779,4117,0.073,NA,351000,0.738,0.915,-0.036,0.95,0.004,15515,0.501,12822000,0.579,52034,83,3,5,32,43,237,53,131,53,4
Hawthorne,84293,6.08,13863.98026,28.9,516308000,0.275,0.161,0.344,0.168,0.067,0.074,0.047,6612,0.269,0.08,2.93,28471,0.66,13861.7,549150000,S,0.007,0.149,0.529,1039190000,0.174,0.277,29869,0.328,84112,12497,0.103,NA,501400,0.551,0.887,0.002,6.08,0.012,19616,0.517,103205000,0.75,44469,653,9,33,281,330,2200,653,1112,435,21
Hayward,144186,45.32,3181.509267,27.8,3295824000,0.245,0.125,0.37,0.231,0.22,0.102,0.071,10263,0.556,0.075,3.15,44380,0.345,3181.3,4967498000,0.273,0.01,0.271,0.407,1785679000,0.085,0.119,48296,0.342,140030,12755,0.188,NA,434000,0.549,0.83,0.03,45.32,0.031,24868,0.507,210522000,0.792,61268,652,13,48,391,200,3753,1097,1649,1007,55
Healdsburg,11254,4.46,2523.318386,20.8,270324000,0.226,0.093,0.188,0.308,0.011,0.15,0.034,1779,0.559,0.056,2.53,4358,0.19,2525,141726000,S,0.018,F,0.339,292303000,F,0.005,4794,0.741,10722,26896,0.625,NA,591600,0.274,0.834,0.05,4.46,0.002,32027,0.509,60387000,0.851,62550,16,0,1,2,13,283,50,226,7,0
Hemet,78657,27.85,2824.308797,31,185314000,0.259,0.18,0.15,0.128,0.03,0.221,0.052,4475,0.63,0.072,2.54,29834,0.198,2824.6,30577000,0.305,0.016,S,0.358,876411000,S,0.064,35305,0.677,58812,12580,0.518,NA,156600,0.268,0.74,0.337,27.85,0.004,18897,0.529,113194000,0.77,35306,369,8,17,129,215,2887,875,1682,330,13
Hercules,24060,6.21,3874.396135,36.4,D,0.228,0.058,0.323,0.4,0.455,0.105,0.062,1903,0.8,0.058,2.89,7971,0.181,3877.5,4161000,0.347,0.004,S,0.146,84991000,S,0.189,8553,0.22,19488,3515,0.167,NA,479300,0.433,0.876,0.235,6.21,0.004,37813,0.526,17389000,0.936,87869,46,2,3,12,29,356,74,201,81,4
Hermosa Beach,19506,1.43,13640.55944,28.8,NA,0.159,0.051,0.11,0.685,0.057,0.09,0.042,2859,0.456,0.051,2.04,9389,0.472,13669.2,28082000,0.263,0.003,S,0.084,284610000,S,0.012,10162,0.868,18566,14882,0.809,NA,1000001,0.115,0.755,0.051,1.43,0.002,66771,0.473,100593000,0.983,99976,40,0,6,19,15,553,107,423,23,1
Hesperia,90173,73.1,1233.556772,38.4,112264000,0.323,0.192,0.155,0.095,0.021,0.09,0.049,7549,0.712,0.084,3.46,24889,0.114,1233.6,274518000,S,0.012,0.052,0.489,508730000,S,0.058,29004,0.611,62582,6015,0.411,NA,250900,0.341,0.841,0.441,73.1,0.003,17815,0.504,86238000,0.757,48386,287,2,27,67,191,1919,626,1025,268,13
Highland,53104,18.76,2830.703625,24.2,NA,0.319,0.173,0.223,0.19,0.074,0.077,0.054,3658,0.682,0.084,3.56,14689,0.161,2831.5,38344000,0.331,0.01,0.168,0.481,160459000,0.125,0.111,16578,0.524,44605,3153,0.308,NA,334200,0.412,0.845,0.191,18.75,0.003,22479,0.513,24279000,0.749,59549,242,4,8,96,134,1492,504,738,250,15
Hollister,34928,7.29,4791.22085,28.7,355545000,0.317,0.125,0.224,0.158,0.027,0.074,0.051,2417,0.599,0.085,3.26,10586,0.205,4791.2,128847000,0.301,0.018,S,0.657,315010000,S,0.01,10401,0.594,34413,9059,0.291,NA,443900,0.452,0.853,0.015,7.29,0.002,22339,0.503,36423000,0.707,63289,159,1,9,30,119,889,421,374,94,4
Holtville,5939,1.15,5164.347826,22.7,NA,0.312,0.234,0.348,0.096,0.008,0.123,0.029,289,0.533,0.076,3.17,1798,0.197,5173.3,37192000,S,0.007,F,0.818,12838000,F,0.006,1937,0.615,5612,2396,0.166,NA,187800,0.71,0.908,0.058,1.15,0.001,19153,0.517,659000,0.62,36202,null,null,null,null,null,null,null,null,null,null
Hughson,6640,1.82,3648.351648,23.8,NA,0.305,0.134,0.236,0.144,0.015,0.108,0.044,292,0.623,0.075,3.31,1891,0.123,3658.4,34716000,S,0.011,F,0.432,7310000,F,0.008,2234,0.772,3980,1171,0.516,NA,264100,0.423,0.872,0.668,1.82,0.002,18646,0.516,1010000,0.747,49977,9,0,0,1,8,92,31,50,11,1
Huntington Beach,189992,26.75,7102.504673,26.2,4423456000,0.206,0.07,0.162,0.401,0.111,0.142,0.045,24497,0.617,0.051,2.51,75220,0.349,7103,4698018000,0.274,0.005,S,0.171,2364765000,0.015,0.01,78003,0.767,189594,12415,0.672,NA,689400,0.223,0.869,0.002,26.75,0.003,41552,0.504,444994000,0.928,80280,449,2,32,109,306,4673,767,3621,285,28
Huntington Park,58114,3.01,19306.97674,29.6,561868000,0.317,0.24,0.513,0.066,0.007,0.066,0.038,4271,0.286,0.088,4.03,14427,0.447,19287.8,462996000,0.34,0.013,0.083,0.971,652189000,0.024,0.008,15151,0.512,61348,10793,0.016,NA,397700,0.942,0.904,-0.053,3.01,Z,12563,0.501,86234000,0.422,37224,559,6,4,394,155,2095,234,1217,644,12
Huron,6754,1.59,4247.798742,22.3,NA,0.371,0.545,0.491,0,0.006,0.049,0.045,S,0.219,0.115,4.09,1637,0.56,4245.1,D,S,0.011,S,0.966,15488000,S,0.01,1602,0.341,6306,2179,0.015,NA,158700,0.978,0.893,0.071,1.59,0.001,6776,0.473,2047000,0.232,20410,70,0,1,13,56,129,32,81,16,4
Imperial,14758,5.86,2518.430034,17.4,NA,0.334,0.126,0.292,0.2,0.025,0.065,0.055,520,0.684,0.086,3.33,4031,0.181,2520.2,88534000,0.425,0.01,0.079,0.748,99446000,F,0.022,4751,0.63,7560,7905,0.202,NA,228700,0.687,0.824,0.952,5.86,0.001,19667,0.511,6217000,0.773,54617,5,0,0,2,3,84,21,44,19,0
Imperial Beach,26324,4.16,6327.884615,25.9,NA,0.254,0.195,0.203,0.158,0.066,0.09,0.066,1602,0.311,0.075,2.73,9159,0.496,6326.4,2604000,0.398,0.01,S,0.49,68116000,F,0.044,9882,0.626,26992,2612,0.36,NA,405600,0.463,0.765,-0.025,4.16,0.007,20374,0.497,20078000,0.81,45418,145,0,9,23,113,453,115,207,131,1
Indio,76036,29.18,2605.757368,20.6,124481000,0.301,0.197,0.279,0.174,0.022,0.124,0.034,5889,0.649,0.085,3.13,22997,0.2,2605.7,237485000,0.285,0.01,S,0.678,789255000,S,0.024,28971,0.615,49116,9575,0.27,NA,286400,0.564,0.796,0.548,29.18,0.001,21333,0.507,D,0.71,51921,453,10,32,113,298,2729,878,1336,515,10
Inglewood,109673,9.07,12091.84123,28.2,437983000,0.267,0.198,0.284,0.172,0.014,0.094,0.041,9236,0.365,0.073,2.97,36476,0.551,12094.5,958025000,0.353,0.007,0.079,0.506,1099639000,0.381,0.439,38429,0.233,112580,9843,0.029,NA,419300,0.499,0.89,-0.026,9.07,0.003,19508,0.525,129642000,0.713,43460,843,20,32,381,410,2672,627,1342,703,16
Ione,7918,4.76,1663.445378,35,NA,0.134,0.066,0.079,0.095,0.014,0.099,0.036,S,0.736,0.026,2.64,1423,0.064,1661.7,D,S,0.022,S,0.251,17661000,S,0.104,1635,0.736,7129,2267,0.582,NA,298300,0.18,0.781,0.111,4.77,0.003,16366,0.244,3005000,0.758,67083,24,0,2,0,22,114,28,82,4,0
Irvine,212375,66.11,3212.448949,22.3,8761538000,0.215,0.102,0.341,0.655,0.392,0.087,0.055,28549,0.532,0.057,2.61,71680,0.414,3212.6,33740652000,0.259,0.002,0.228,0.092,4566820000,0.012,0.018,83899,0.505,143072,23098,0.451,NA,677100,0.422,0.77,0.484,66.11,0.002,41898,0.513,755800000,0.964,90939,120,0,24,40,56,2798,480,2197,121,23
Kerman,13544,3.23,4193.188854,27.6,NA,0.343,0.22,0.264,0.124,0.081,0.072,0.049,S,0.603,0.103,3.73,3403,0.206,4189.3,D,S,0.013,S,0.717,79742000,S,0.005,3908,0.506,8551,6451,0.182,NA,255400,0.619,0.941,0.584,3.23,0.001,16945,0.501,10509000,0.62,48973,49,1,0,11,37,681,172,371,138,1
King City,12874,3.84,3352.604167,24.1,NA,0.34,0.147,0.512,0.061,0.013,0.059,0.045,557,0.501,0.108,4.45,2784,0.253,3348.2,70181000,S,0.027,S,0.875,135677000,F,0.012,3218,0.479,11094,11937,0.097,NA,237000,0.845,0.746,0.16,3.85,0.001,13811,0.464,18163000,0.431,49722,56,4,7,9,36,205,102,80,23,3
Kingsburg,11382,2.83,4021.908127,18.8,NA,0.296,0.158,0.148,0.199,0.034,0.128,0.043,S,0.602,0.08,3.16,3489,0.21,4024.8,D,S,0.013,S,0.429,64733000,S,0.005,4069,0.753,9199,5889,0.507,NA,252800,0.305,0.881,0.237,2.83,0.002,22031,0.518,13328000,0.805,55218,26,1,1,2,22,458,128,253,77,3
La Canada Flintridge,20246,8.63,2346.002317,25.9,NA,0.263,0.032,0.246,0.687,0.258,0.157,0.034,2842,0.903,0.037,2.93,6906,0.048,2346.5,26211000,0.312,0.001,S,0.063,193710000,S,0.005,7089,0.689,20318,9470,0.647,NA,1000001,0.308,0.935,-0.004,8.63,Z,75160,0.514,34086000,0.975,136818,21,0,2,7,12,346,95,238,13,4
La Habra,60239,7.37,8173.541384,27.9,214968000,0.267,0.108,0.278,0.217,0.094,0.109,0.042,4687,0.571,0.072,3.2,18599,0.353,8173.5,235354000,S,0.009,S,0.572,971746000,S,0.017,19924,0.583,58974,16610,0.302,NA,472400,0.494,0.826,0.021,7.37,0.002,25060,0.508,99570000,0.803,62078,169,0,18,60,91,1236,258,846,132,1
La Habra Heights,5325,6.16,864.4480519,27.3,NA,0.191,0.021,0.21,0.484,0.158,0.195,0.041,474,0.989,0.037,3.05,1729,0,864.6,4702000,S,0.005,S,0.235,D,F,0.009,1880,0.724,5712,D,0.572,NA,906500,0.285,0.953,-0.068,6.16,0.001,53711,0.502,2372000,0.932,121380,7,0,1,0,6,81,32,42,7,0
La Mesa,57065,9.08,6284.69163,22.3,NA,0.196,0.117,0.135,0.328,0.058,0.142,0.058,6111,0.479,0.063,2.28,24151,0.453,6287.5,37593000,S,0.008,S,0.205,1236263000,S,0.077,26167,0.718,54749,23207,0.619,NA,437000,0.191,0.778,0.042,9.08,0.006,29255,0.524,155588000,0.91,52932,184,0,12,68,104,2025,427,1328,270,12
La Mirada,48527,7.84,6189.668367,29.6,859870000,0.211,0.052,0.227,0.275,0.178,0.152,0.043,3830,0.806,0.051,3.19,14475,0.138,6189.7,5047859000,S,0.008,0.242,0.397,424533000,S,0.023,15092,0.607,46783,8650,0.38,NA,508100,0.389,0.891,0.037,7.84,0.003,28367,0.52,77710000,0.864,79347,74,0,3,31,40,726,113,502,111,4
La Palma,15568,1.81,8601.104972,30.1,250650000,0.22,0.062,0.333,0.394,0.481,0.159,0.043,1447,0.837,0.049,3.17,4725,0.131,8610.6,136494000,0.273,0.004,S,0.16,77125000,S,0.052,5224,0.37,15408,5002,0.278,NA,615500,0.465,0.895,0.01,1.81,0.003,33509,0.517,24785000,0.905,89788,9,0,0,5,4,218,65,141,12,2
La Puente,39816,3.48,11441.37931,32.6,NA,0.287,0.12,0.42,0.103,0.084,0.092,0.037,2603,0.605,0.075,4.23,9482,0.254,11444.7,97466000,0.335,0.011,0.185,0.851,227325000,S,0.014,9761,0.494,41063,5636,0.046,NA,372300,0.757,0.905,-0.03,3.48,0.001,15006,0.501,36635000,0.56,51023,162,2,4,49,107,581,134,306,141,2
La Quinta,37467,35.12,1066.828018,21.8,NA,0.219,0.093,0.15,0.338,0.031,0.209,0.033,4219,0.755,0.048,2.61,13658,0.099,1066.9,20091000,S,0.006,S,0.303,784724000,S,0.019,23489,0.787,23694,18562,0.631,NA,448600,0.252,0.852,0.581,35.12,0.001,43479,0.517,219202000,0.907,75358,137,1,9,25,102,1288,447,777,64,12
La Verne,31063,8.43,3684.816133,28.7,294583000,0.213,0.068,0.123,0.316,0.077,0.169,0.045,2832,0.773,0.044,2.77,10968,0.109,3684.8,472003000,0.207,0.009,0.115,0.31,288253000,S,0.034,11686,0.742,31638,8798,0.554,NA,512400,0.222,0.891,-0.018,8.43,0.002,32343,0.527,58132000,0.919,77227,56,0,4,18,34,643,130,477,36,3
Lafayette,23893,15.22,1569.842313,27.5,NA,0.249,0.023,0.123,0.713,0.09,0.166,0.042,4251,0.77,0.049,2.7,8760,0.179,1569.7,143573000,0.294,0.003,S,0.058,219028000,F,0.007,9651,0.847,23908,8896,0.806,NA,1000001,0.138,0.908,-0.001,15.22,0.001,66741,0.514,68351000,0.965,134000,20,0,4,7,9,447,116,293,38,1
Laguna Beach,22723,8.85,2567.570621,29.8,NA,0.161,0.075,0.13,0.63,0.036,0.183,0.029,5498,0.624,0.033,2.06,11047,0.268,2567.6,40878000,0.259,0.003,S,0.073,175990000,S,0.008,12923,0.909,23727,7424,0.857,NA,1000001,0.12,0.851,-0.042,8.85,0.001,83998,0.498,287469000,0.973,98634,78,0,5,8,65,474,82,379,13,1
Laguna Hills,30344,6.67,4549.325337,25.6,D,0.223,0.085,0.243,0.43,0.126,0.128,0.047,5612,0.771,0.052,2.88,10427,0.212,4549.3,252295000,S,0.003,S,0.206,571059000,0.013,0.014,11046,0.727,31178,18151,0.617,NA,627600,0.308,0.863,-0.027,6.67,0.002,47542,0.512,115454000,0.914,87337,43,0,4,14,25,510,78,404,28,4
Laguna Niguel,62979,14.83,4246.729602,27.3,NA,0.226,0.055,0.213,0.533,0.087,0.13,0.044,8879,0.757,0.051,2.57,24356,0.229,4245.9,161492000,0.352,0.003,S,0.139,1304331000,S,0.012,25312,0.804,61891,20555,0.725,NA,748300,0.224,0.887,0.018,14.83,0.001,50661,0.515,98115000,0.97,97018,40,2,0,10,28,641,107,504,30,1
Laguna Woods,16192,3.12,5189.74359,22.3,NA,0.003,0.074,0.211,0.393,0.1,0.795,0.012,1202,0.78,0.001,1.41,11470,0.645,5198.1,D,0.381,0.001,S,0.04,110735000,F,0.007,13016,0.873,16507,6159,0.84,NA,236700,0.191,0.87,-0.019,3.12,0.001,35611,0.645,20291000,0.935,34192,15,2,0,7,6,104,14,82,8,0
Lake Elsinore,51821,36.21,1431.123999,42.5,120986000,0.328,0.124,0.21,0.178,0.058,0.057,0.062,4021,0.691,0.092,3.45,14064,0.166,1431.2,69035000,S,0.009,S,0.484,773236000,S,0.053,16253,0.6,28928,16137,0.378,NA,293700,0.383,0.782,0.791,36.21,0.003,22108,0.499,73065000,0.802,63726,108,0,15,38,55,1571,398,959,214,2
Lake Forest,77264,17.82,4335.802469,26,1238764000,0.247,0.053,0.232,0.419,0.131,0.092,0.048,9239,0.722,0.063,2.84,26915,0.262,4336.8,2874962000,0.263,0.005,S,0.246,1225790000,0.01,0.017,27088,0.703,58707,16397,0.572,NA,579000,0.309,0.873,0.316,17.82,0.002,38844,0.503,172666000,0.923,91040,92,0,8,32,52,959,161,736,62,5
Lakewood,80048,9.41,8506.695005,27.3,NA,0.243,0.052,0.213,0.275,0.164,0.114,0.057,6822,0.732,0.061,3.09,25765,0.133,8502.2,46484000,0.341,0.007,0.231,0.301,1055992000,0.083,0.087,27470,0.56,79345,13578,0.409,NA,499100,0.337,0.894,0.009,9.42,0.009,28764,0.515,155531000,0.885,77380,296,0,15,128,153,1876,307,1249,320,2
Lancaster,156633,94.28,1661.359779,31.1,258596000,0.301,0.202,0.135,0.168,0.043,0.081,0.054,10459,0.629,0.08,3.16,45583,0.214,1661.4,928561000,0.349,0.01,S,0.38,1754369000,0.128,0.205,51835,0.496,118718,12401,0.342,NA,252100,0.269,0.842,0.319,94.28,0.002,20256,0.499,178112000,0.804,51192,900,7,60,255,578,3411,1033,1939,439,44
Larkspur,11926,3.3,3613.939394,24.2,NA,0.182,0.056,0.193,0.593,0.047,0.215,0.041,2155,0.513,0.046,1.96,5947,0.482,3939.9,163635000,0.425,0.002,S,0.077,154403000,F,0.016,6376,0.865,12014,13320,0.821,NA,966700,0.228,0.823,-0.007,3.03,0.001,60793,0.55,53930000,0.963,83240,,,,,,,,,,
Lathrop,18023,17,1060.176471,40,701457000,0.323,0.083,0.296,0.134,0.22,0.065,0.069,712,0.825,0.088,3.66,4660,0.021,821.8,1144554000,0.34,0.013,0.239,0.426,122145000,F,0.072,5261,0.411,10445,7407,0.246,NA,289800,0.498,0.829,0.726,21.93,0.008,21139,0.501,15890000,0.77,68226,,,,,,,,,,
Lawndale,32769,1.97,16634.01015,25.5,NA,0.272,0.158,0.387,0.161,0.1,0.069,0.057,2667,0.331,0.075,3.3,9842,0.313,16600.3,43219000,0.304,0.009,S,0.61,253487000,S,0.101,10151,0.436,31711,8150,0.162,NA,439500,0.664,0.878,0.033,1.97,0.011,18948,0.497,34442000,0.739,48357,228,4,10,67,147,513,152,223,138,2
Lemon Grove,25320,3.88,6525.773196,24.3,NA,0.255,0.164,0.177,0.167,0.064,0.112,0.071,2178,0.581,0.07,2.83,8669,0.233,6525.8,31915000,0.279,0.009,S,0.412,402136000,S,0.138,8868,0.516,24918,16939,0.347,NA,378000,0.336,0.895,0.016,3.88,0.011,21965,0.512,D,0.853,50839,156,1,5,53,97,531,180,231,120,5
Lemoore,24531,8.52,2879.225352,23.2,D,0.308,0.13,0.168,0.148,0.082,0.073,0.068,1302,0.591,0.09,3.19,7499,0.22,2880.2,D,S,0.014,S,0.4,144927000,S,0.064,8632,0.568,19712,6189,0.41,NA,232200,0.319,0.812,0.244,8.52,0.004,22245,0.502,D,0.814,59760,110,0,11,18,81,689,114,508,67,0
Lincoln,42819,20.11,2129.239184,29.2,214171000,0.242,0.067,0.119,0.305,0.062,0.235,0.042,3399,0.8,0.078,2.57,14664,0.082,2129.7,115695000,0.364,0.009,S,0.177,193511000,S,0.015,17457,0.796,11205,4603,0.711,NA,395500,0.177,0.838,2.821,20.11,0.003,32559,0.519,28703000,0.924,73375,28,1,8,4,15,447,117,273,57,7
Lindsay,11768,2.61,4508.812261,19.9,NA,0.384,0.347,0.344,0.035,0.023,0.075,0.037,532,0.533,0.115,3.68,3092,0.233,4508.8,65687000,S,0.011,F,0.855,52089000,F,0.007,3193,0.551,10297,4948,0.115,NA,162100,0.778,0.889,0.143,2.61,Z,11290,0.497,6623000,0.474,30085,69,0,2,3,64,333,82,191,60,4
Livermore,80968,25.17,3216.845451,28,1803768000,0.255,0.056,0.16,0.369,0.084,0.103,0.054,7402,0.724,0.066,2.75,28431,0.191,3216.5,2130026000,0.28,0.006,0.093,0.209,1315224000,S,0.021,30342,0.746,73345,16725,0.647,NA,592500,0.219,0.867,0.104,25.17,0.003,41072,0.504,132043000,0.923,93988,323,0,16,53,254,1770,369,1250,151,19
Livingston,13058,3.72,3510.215054,21.2,D,0.326,0.172,0.394,0.071,0.17,0.07,0.042,649,0.618,0.087,4.19,3037,0.135,3514.9,D,0.311,0.027,S,0.731,52477000,F,0.008,3320,0.403,10473,4044,0.08,NA,244900,0.826,0.897,0.247,3.72,0.001,13947,0.495,7528000,0.518,46198,103,0,4,13,86,346,163,151,32,6
Lodi,62134,13.61,4565.319618,23.4,687140000,0.278,0.158,0.193,0.181,0.069,0.135,0.046,4190,0.547,0.079,2.79,21548,0.29,4565,435980000,0.289,0.009,0.054,0.364,853893000,0.006,0.008,23792,0.687,56999,13941,0.534,NA,334000,0.313,0.834,0.09,13.61,0.002,23748,0.512,90553000,0.781,48695,243,1,12,112,118,2002,531,1272,199,8
Loma Linda,23261,7.52,3093.218085,18.9,NA,0.209,0.127,0.327,0.424,0.283,0.139,0.054,S,0.414,0.066,2.59,8703,0.392,3094.9,D,S,0.004,S,0.222,195411000,S,0.087,9649,0.478,18681,9075,0.37,NA,348000,0.434,0.808,0.245,7.52,0.007,29991,0.532,18645000,0.881,56112,28,0,3,7,18,554,173,298,83,1
Lomita,20256,1.91,10605.2356,25.4,NA,0.216,0.086,0.227,0.259,0.144,0.125,0.063,1599,0.467,0.063,2.59,7791,0.344,10599.7,14515000,S,0.009,S,0.328,119793000,F,0.053,8412,0.592,20046,5994,0.434,NA,532100,0.35,0.833,0.01,1.91,0.007,29536,0.517,27345000,0.859,62464,86,0,4,21,61,330,99,195,36,3
Lompoc,42434,11.6,3658.103448,26.1,NA,0.264,0.189,0.263,0.141,0.038,0.1,0.058,2583,0.487,0.076,2.89,13420,0.336,3659,8286000,0.296,0.018,S,0.508,385303000,S,0.057,14416,0.612,41103,9620,0.363,NA,330600,0.44,0.786,0.032,11.6,0.004,19746,0.465,59149000,0.743,46932,311,1,22,26,262,932,154,727,51,16
Long Beach,462257,50.29,9191.827401,27.9,6198312000,0.249,0.191,0.274,0.28,0.129,0.093,0.053,37610,0.423,0.07,2.8,161893,0.506,9191.3,7337070000,0.343,0.007,0.14,0.408,4320870000,S,0.135,176032,0.461,461522,9395,0.294,NA,508900,0.459,0.81,0.002,50.29,0.011,25929,0.51,924807000,0.785,51173,2720,32,134,1202,1352,11642,2929,6524,2189,79
Los Alamitos,11449,4.05,2826.91358,27.4,432951000,0.239,0.056,0.162,0.383,0.128,0.139,0.061,1987,0.464,0.046,2.61,4151,0.415,2826.9,541257000,S,0.004,S,0.211,180030000,S,0.028,4355,0.71,11536,15619,0.587,NA,688400,0.226,0.84,-0.008,4.05,0.004,36675,0.528,38661000,0.916,76528,14,0,1,7,6,279,74,179,26,1
Los Altos,28976,6.49,4464.714946,21.3,NA,0.261,0.022,0.237,0.782,0.235,0.2,0.043,4286,0.855,0.054,2.64,10701,0.113,4466.8,36840000,0.267,0.002,S,0.039,265044000,F,0.005,11204,0.706,27693,9600,0.678,NA,1000001,0.278,0.915,0.046,6.49,0.002,75294,0.518,67148000,0.985,149964,8,0,4,3,1,233,67,163,3,6
Los Angeles,3792621,468.67,8092.305887,29.1,41805565000,0.231,0.195,0.396,0.302,0.113,0.105,0.046,450108,0.389,0.066,2.81,1314198,0.537,8092.3,49819882000,0.303,0.007,0.137,0.485,36672803000,0.058,0.096,1413995,0.498,3694820,9705,0.287,NA,553900,0.597,0.858,0.026,468.67,0.001,27620,0.502,8271789000,0.737,49138,21484,293,923,10924,9344,89704,17410,55248,17046,1341
Los Banos,35972,9.99,3600.800801,42.7,412859000,0.336,0.187,0.249,0.093,0.032,0.086,0.051,1851,0.645,0.09,3.56,9666,0.11,3599.7,62174000,S,0.014,S,0.649,350923000,S,0.038,11375,0.58,25869,10218,0.265,NA,248900,0.557,0.821,0.391,9.99,0.004,18437,0.502,42685000,0.651,54375,139,2,4,36,97,1050,323,637,90,3
Lynwood,69772,4.84,14415.70248,27,374084000,0.329,0.201,0.401,0.047,0.007,0.054,0.034,4100,0.483,0.091,4.22,15079,0.318,14415.7,334363000,0.319,0.007,0.03,0.866,274138000,S,0.103,15277,0.393,69845,3955,0.022,NA,406500,0.802,0.874,-0.001,4.84,0.003,12674,0.514,59449000,0.497,43654,615,4,14,271,326,1328,392,442,494,20
Madera,61416,15.79,3889.550348,24.4,394645000,0.347,0.257,0.295,0.1,0.022,0.076,0.044,2425,0.51,0.107,3.7,15857,0.238,3889.8,169040000,S,0.031,S,0.767,518880000,S,0.034,17049,0.499,43207,9389,0.169,NA,230300,0.603,0.825,0.421,15.79,0.001,14784,0.49,46882000,0.558,40889,357,8,22,100,227,1319,460,552,307,0
